image_filename,reference
1039360778.jpg,A woman in a blue shirt and sunglasses lies on a red blanket in a grassy field with a bike set down next to her. A woman relaxes with her bike on a red blanket in a field of green grass and trees. A lady laid her bicycle on the green lawn as she lies in a red blanket. A woman is laying on a red blanket in a park. A girl suns herself on a red blanket.
103953336.jpg,Someone is standing on a long bridge with a cloudy blue sky in the background. A solitary man stand on a bridge in the evening. One person is standing on a bridge at night. Person crossing a bridge in dim light. A man stands on a bridge at night.
1039637574.jpg,A bride in a light pink dress poses for a picture with male relatives and is being photographed by a man in a cream shirt with white pants. A man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown. A photographer takes a picture of a group of one girl in a pink dress and 10 boys in suits and hats. A man photographs a woman in a pink dress and a throng of men in suits. Man taking a photograph of a well dressed group of teens.
10404007.jpg,Young white boy on a grassy area with a sad expression on his face. A baby boy crying standing on a field of grass. A toddler is walking in on a grassy knoll. A blond toddler walks in a field. A child walks in a grassy field.
1040426962.jpg,A man is cooking what appears to be green beans in a grill basket on a grill with a yellow lab standing by him while someone takes a picture from above. A man and his dog are grilling green beans on a grill. A man grilling vegetables on a patio with his dog. A man and a dog grilling green beans. Guy and his dog cooking outside
104136873.jpg,Three people are on a hilltop overlooking a green valley. People sit on the mountainside and check out the view. Three people rest on a ledge above the moutains. Three people hang out on top of a big hill. Three people overlook a green valley.
104180524.jpg,A group of tourists is crossing a bridge that connects a walking path to a trail of nature. Many people cross a very tall footbridge with a tree-covered hill in the background. This shows a group of people walking over an arched red bridge. People cross a large bridge to get over the body of water. People walking over a white and red bridge over a pond.
1042020065.jpg,A young boy wearing a jersey looks down over a ledge at many boats in the water. A boy looks over a railing at the many boats and rafts below in the water. A boy in a green shirt is looking down at many inflatable boats. A young boy overlooking a crowd of inflatable boats. A boy in a green shirt watches kayakers.
1042359076.jpg,A older man holds an object and is looking at two young girls that sit across from him at a table that is outside. Two little girls and an old man have a conversation. An old man is telling two girls something. Two girls and a man were peeling corn. Two young girls listen to an elder.
1042590306.jpg,"A man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on. Guy in blue shirt biting hand of girl in black striped jacket while another guy watches Asian man and blond woman holding hands outdoors, man in background watches. A man and woman pose for the camera while another man looks on. A multiracial couple posing for a picture"
104285082.jpg,A man with glasses is sitting a chair playing the oboe while a man in a purple shirt plays percussion and spectators look on. An older man with gray hair is sitting in a chair playing a large instrument made of bamboo. Gray-haired man in dress shirt plays the bassoon while reading sheet music from a stand A gray-haired man sitting in a chair playing a wind instrument among other musicians. A man playing a musical instrument.
1043819504.jpg,"A group of 11 people in winter wear such as beanies, skiing jackets, gloves and backpacks are standing in snow paddles outside a house made of ice blocks while a person in front of the door seems to be leading them. A group of people wearing snowshoes, and dressed for winter hiking, is standing in front of a building that looks like it's made of blocks of ice. The people are quietly listening while the story of the ice cabin was explained to them. A group of people standing in front of an igloo. Several students waiting outside an igloo."
1043910339.jpg,"A baseball player in red leaps into the air to avoid a player in blue, who is shortly behind him as he catches the ball, while other blue team members look on in the background. A boy in a red uniform is attempting to avoid getting out at home plate, while the catcher in the blue uniform is attempting to catch him. A baseball player coming into home plate with knee held high and the catcher right in front of him waiting for the ball. A baseball player attempting to score a run before the catcher tags the player out. A baseball catcher trying to tag a base runner in a baseball game."
1044434135.jpg,A man in the foreground wearing a white shirt and black pants riding a bicycle with a basket in a busy street. This photo takes place in a busy street in an Asian city where people are riding bikes and walking. A very bus street is shown with Asian people all around walking and riding bicycles. A man in a white shirt rides a bicycle on a busy street. An Asian man riding a bike in the road.
1044764620.jpg,A man on a ladder is painting a brick wall in a warehouse. A man is standing on a ladder painting bricks A construction site with building material. Man painting a brick wall on a ladder. A man is panting a piece of wood.
1044798682.jpg,A man wearing a hat and a white shirt is cleaning windows. A man in a white shirt stands high up on scaffolding A man stands on boards on top of a huge ladder. Man works on top of scaffolding. A guy works on a building.
1045124251.jpg,"A blond-haired man with glasses and a blank tank top is sitting next to another man with glasses and headphones while sitting on a train. A blond man wearing glasses is sitting in the train looking down at something. White man with glasses sitting next to another man who has earphones in. A 30 somethings man playing with his phone on a subway train. Two guys are riding on a subway, both wearing glasses."
1045309098.jpg,Juggling her shopping bags and Betty Boop backpack and young woman crosses a city street. Woman crossing the street at a crosswalk with multiple bags in her hands. A girl with numerous bags walks on a crosswalk along with other people. Two women are walking in a crosswalk with a bus in the background. Two women walking through a crosswalk. A young man sits on the floor by the television with a fast food meal in front of him. A person sits on the floor and eats in front of a television. A person eats takeout while watching a small television. Someone is laying in front of the TV eating food. A television with a picture of a girl on it.
10459869.jpg,Several asian people are eating together around a table. A group of people eating Chinese food in a restaurant. Six people are sitting at a table eating food. A group of people are eating noddles. Several Asians eat food outdoors.
104669470.jpg,"A woman with flowers in her hair balances a large bowl of assorted fruits on her head. A dark woman carrying a large bowl of pineapples, bananas and papayas on her head. A woman with flowers in her hair balances a large bowl of fruit on her head. A woman is carrying a bowl full of fruit on her head near the ocean side. A woman is balancing a big bowl of fruit in front of the ocean."
104700891.jpg,A man wearing a gray jacket and blue work pants is standing in a hole in the ground A man in a blue hat stands near a shovel in a deep hole. A man in a whole next to a septic tank. A guy wearing blue in a hole. A man stands in a hole.
104763189.jpg,A shirtless young boy on a bicycle too big for him being supported by 3 other young shirtless boys in a grass field. Four children are smiling as they pose together with a bicycle that is much too big for them. An African American child is supported by his three peers while riding his bicycle. Four children are smiling and playing on a bike Boys all outside around a big bike.
1047921035.jpg,"A man in a bandanna and a dirty t-shirt, and a woman in a graphic t-shirt, are standing next to a oblong hole with smoke coming out. The man, who is wearing the handkerchief, is performing a task with the tub while the woman watches. Two individuals, a male and a female, standing in a forested area around a tub. Two people, one man and one women in the woods putting something in a tub. Steam rises from a large outdoor vat as two workers look on."
104816788.jpg,"This little baby girl dressed whimsically in striped pantaloons is pictured so that one must ask which is bigger, her feet or her sleepy smile. A sleeping baby is in someone's arms and wearing a pink striped outfit A sleeping baby in a pink striped outfit. A little baby cradled in someones arms. A little baby is wearing purple pants."
104824673.jpg,"An African individual is looking into the camera while dressed in varying beads and decorations that have a cultural relevance. An African native gazes into the camera donning a hat of two corn cobs and necklaces of shells and beads. A member of an African tribe is watching the camera intently in tribal dress. An African woman with piercings, lots of necklaces and corn on her head. A person is wearing a lot of jewelry with corn on his or her head."
104835889.jpg,"A samurai warrior in full black dress takes his sword from the sheath on an outdoor training mat. A man in a black martial arts suit unsheathes a sword on a training mat in a field. A guy with a sword and traditional fighting gear is getting ready for a fight. A man in black wields a sword in front of rolling, green hills. One man dressed in black doing karate in a green field."
1048710776.jpg,A couple of several people sitting on a ledge overlooking the beach Several young people sitting on a rail above a crowded beach. A group of people sit on a wall at the beach. A group of teens sit on a wall by a beach. Crowd of people at the beach.
1049955899.jpg,"A group of men and women are hiking through a dried up river bed littered with large rocks, which runs between two rocky walls in a dense green forest. Five hikers, one facing towards the camera and the others facing away from it, are walking through a rocky riverbed. Hikers treks upward through the creek bed, stopping to catch their breath and enjoy the cool, green scenery. A group of hikers traveling along a rock strewn creek bed. Two women and three men are hiking along a rocky stream."
105077209.jpg,"A man with a badge is standing on a wood floor next to a structure. A security guard stands by a metal, lighted sculpture. A white-haired man in a suit stands in an empty room. A security guard on watch duty at the museum. Security guard at a art museum."
1051205546.jpg,"Two women in colorful dresses are sweeping water out of the street while a man watches. Two women, one in green and the other in purple, washing a sidewalk. Two Indian women in saris are bending over a wet street. Two women in colorful clothing are cleaning the road. Two woman are sweeping a street."
1051290485.jpg,"Two separate women, one wearing a white top and black pants, the other wearing all black and a pair of pink flip-flops, kneel on a gray brick sidewalk path in front of green and red bushes. Two women squatting on the sidewalk looking at plants, one in black shirt, shorts and pink sandals, the other in a white shirt, black shorts talking on a cellphone. A little girl is looking at some plants while another is on the phone in the background. Two girls crouch in front of some bushes and talk on their phones. Two girls crouch in front of a garden of small shrubbery."
1051953669.jpg,"A young girl wearing a multicolored holding an orange ball in her right hand walking through bright green grass behind a house A little girl wearing a dress walks across a green lawn on a summer day with a home and trees in the background. A child in a dress runs through the yard with a miniature orange soccer ball in her hand. A little girl stands in a backyard, holding a toy and looking into the camera. This little girl is enjoying the spring weather after the long winter break."
105223874.jpg,A young child wearing a blue shirt and sandals playing with a red toy while sitting on the floor. A black-haired child in a blue outfit is playing with a toy outside on a tile floor. A little boy with a blue shirt on sitting on the ground playing with legos. A young child playing with a toy while laying on the floor. A little boy playing with his toy.
1052358063.jpg,A little boy skateboarder is doing a trick on his board while another young skateboarder watches. A child is performing a skateboard trick while another child with a skateboard leans on a wall. A boy takes a jump on his skateboard while another boy with a skateboard watches. A young boy skateboarder jumping on a platform on a skateboard. Two skateboarders.
1053116826.jpg,"Two little children, one boy and one girl, laugh as they sit on the grass. A little boy and a girl sitting down in the grass having fun. A young boy and a young girl sitting in the grass laughing. Two children smiling and sitting on grass. Two kids are laughing in the grass."
1053243591.jpg,"Young woman holding a bottle, reaching out from a bench to shake a man's hand. A man shaking the hand of a woman in an orange shirt sitting on a bench. A man shaking the hand of a teenager sitting on a bench. A woman having a drink is shaking hands with someone. A young girl in a orange shirt shaking a hand."
105335409.jpg,Man talking on a microphone and a crowd of people in front of him. A trolley driver is telling people to move off of the street. A mass transit person making an announcement. A driver communicating on his walkie talkie. A man in a vehicle behind a family crowd
105342180.jpg,"A girl paddling down a large river, as seen from behind her. A woman with a paddle sits in a boat on the water. A woman paddles a boat down a river. A woman kayaking down a river. A woman with a paddle."
1053804096.jpg,A girl with pigtails is playing in the ocean by the beach. A girl in pigtails splashes in the shallow water. A young girl in pigtails plays in the water. A girl with pigtails plays in the water. A girls plays in the surf.
1054620089.jpg,"A woman in jeans and a red coat and carrying a multicolored handbag spreads put her arms while leaping up from a cobblestone street. A lady in a red coat, holding a bluish hand bag likely of asian descent, jumping off the ground for a snapshot. A woman in a red jacket, with a blue and gold handbag is jumping while smiling on a cobblestone street. A woman wearing a red coat is jumping outdoors. Girl in red jumping for joy."
105493603.jpg,Two people sitting beside each other at a table with food on it smiling. A couple wearing white sweaters sit at a restaurant table. A man and woman seated at a table together. A man and a woman eating dinner together. A man and woman wearing khaki smiling.
105493628.jpg,"White wine and appetizers on are displayed in an upscale restaurant. Food sits on white plates in front of wineglasses and a wine rack. A well lit room, with three glasses on the table and two plates. An elegant food serving on table at a restaurant. A meal is on a table in a restaurant. A group of four children wearing pajamas have a pillow fight. A group of young children playing pillow fight on a bed. Four children are having a pillow fight. A group of kids have a pillow-fight. Children having a pillow fight."
1055753357.jpg,Two construction workers are sitting up on the side of a building. Two constructions workers sit on a beam taking a break. Two construction workers take a seat on a steel beam. Two construction workers sitting on an I-beam. Two men take a break from construction.
1056198351.jpg,A smiling little boy holds a hand mixer in a bowl. Young boy with blond-hair playing with a mixer. A child has fun with a blender in the kitchen. A child using an electric mixer in a bowl. A child happily mixing batter in a bowl.
1056249424.jpg,"Two boys, one with a yellow and orange ball, play in some water in front of a field. Two children play with a balloon in mud on a sunny day. Two kids are running and playing in some water. The children are playing in the water. Two boys play in a puddle. A woman with blond-hair wearing a blue tube top is waving on the side of the street. The woman in the blue dress is holding out her arm at oncoming traffic. A blond woman in a blue shirt appears to wait for a ride. A woman is signaling is to traffic, as seen from behind. A blond woman is on the street hailing a taxi."
1056359656.jpg,A young girl sits on a seat and looks at a train pamphlet. A young girl on a train reads a book about train rides. A little girl looking at a brochure on train rides Child sitting down looking at train ride brochure A young blond girl with a magizine in her hands
1056415186.jpg,"Two Asian girls laughing, as the girl on the right holds an instrument. Two women are sitting and talking and laughing together. 2 girls in metal chairs are laughing together. Two women laugh while sitting on the floor. Two asian women smiling and laughing."
105685221.jpg,"Several people jogging outside on a sunny day in what seems to be a neighborhood, could be part of a marathon. Seven people are running and one of them is a man wearing a blue t-shirt and red shorts People jogging together on a park sidewalk. A group of joggers running on the sidewalk. Seven joggers run down a path."
1056873310.jpg,Two dogs run towards each other on a rocky area with water in the background. A brown dog is running after a black dog on a rocky shore. Two dogs run across stones near a body of water. A brown dog is running after the black dog. Two dogs playing on a beach.
1057089366.jpg,A kid jumps off the diving board and into the swimming pool below. The boy is jumping off a high diving board into the pool. A child jumps off a high diving board into the pool. A little kid is jumping off a high dive at the pool. A boy descends off the end of a high diving board. A guy stands by a window taking his overshirt off. A man in a tank top stands next to a chrome door. The man is putting on his shirt near an elevator. A man stands by an elevator with his head down. A man puts his shirt on near an elevator.
1057251835.jpg,A white dog is running down a rocky beach. Light brown dog running along the beach. A light-colored dog runs on the beach. A small yellow dog runs on a beach A tan dog runs on a sandy beach.
105806535.jpg,"A young man is bathing, with only his shorts on, in a large wooden pale. A man lounges in a wooden basin of water while eating a fruit. A guy in a huge wooden tub while people are looking over. A man holding a yellow ball, soaking in a wooden tub. A man laying in a wooden tub outside."
1059514525.jpg,"A person is sleeping on a bench on the sidewalk, across the street from a bus stop. A man with a plaid blanket sleeps on a bench near a city street. A person laying on a street bench under a blue plaid blanket. A man is sleeping on a bench near a bus stop. Someone sleeping on bench on city street."
10602072.jpg,"Two young girls are playing in the forest; the younger one is climbing a short tree and is about 2 feet off the ground. A little girl in a red shirt and jeans climbs a small tree while another little girl looks on. Two young girl are playing near a small tree, and one has climbed up into the branches. One child is climbing in a tree while another, older child, watches. A young girl watched as a girl younger than her climb a tree."
106027774.jpg,It looks as though a soldier is sleeping in a car on his way home after a deployment. A young man asleep during a car ride wearing his seat belt. A boy in a beige shirt is sleeping in a car. A man asleep in a car that's driving. A boy sleeps on a car ride.
106027978.jpg,Pink shirted woman sleeping in a car with blue and white blanket on her. A woman in a pink shirt wrapped up in a blue blanket asleep in a car. A woman in a red shirt is under a blanket and sleeping in a vehicle. A lady with brown hair in a pink shirt sleeping in a car. A woman sleeps under a blue and white blanket in a car.
106039369.jpg,"One man wearing a white shirt is flipping a pancake by flinging it into the air. Man is flipping an omelet or pancake in the air, while in his kitchen. A man in a home kitchen is flipping a pancake extremely high. A guy flipping a pancake high into the air from a skillet. Man flipping pancake in kitchen while looking in awe."
1060605297.jpg,Firefighters converse with a man at the scene of an emergency. Firefighters wear reflective uniforms and stare upwards. Several firefighters are responding to an alarm. Reflections from the firemen's uniforms. Firefighters are responding to an event.
1061467336.jpg,"A few firefighters, wearing black, yellow, and pink jackets, standing next to a firetruck. Several firefighters stand outside of a building near their firetrucks. Firefighters at a scene with a firetruck that has it's lights on. Firemen stand outside of their firetruck with all its lights on. Four on-duty firemen talk in front of a firetruck."
1061887159.jpg,"A man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background. A beach with blue and red boats, with people on shore People are doing various activities on the beach. People at beach looking for things in sand Many people walking on beach."
106300392.jpg,"A man in an orange hard hat and vest looks at an object in his hand while the man next to him stands on a ladder in order to reach the ceiling. There are two workers, one on a ladder, against a blue wall with a yellow-and-black stripe. Construction workers in front of blue wall with warning stripe. Men wearing hard hats and safety vests are working. A guy with boots is on a ladder."
106356264.jpg,"A newsstand so packed with magazines, candy and coke-a-cola products that the smiling woman working behind the counter is easy to miss. A magazine vendor sits behind a very colorful collage of magazines. A newsstand clerk is surrounded by her colorful merchandise. A woman working at a newsstand. A woman in a magazine stand."
10637120.jpg,A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment. A worker wearing a hard hat watching a large machine dig a trench in the dry dirt. A man in blue overalls and a yellow hard hat is watching a huge machine work. A man in a hard hat is wearing a blue shirt and blue jean overalls. A man in a hard hat looks at some machinery.
106372282.jpg,"A man sitting down with this head resting on his fists next to a man with his eyes closed and his together with dough sitting on a table in front of them both. At the bakery, the fat old baker sleeps while his apprentice rubs the flour out of his eyes, seated beside him. An all yellow photo of two men sitting in a bakery. A tired looking person makes a lot of bread. Two men relaxing in a bakery"
1063866640.jpg,Four men are sitting near a tree talking while another stands looking at a body of water and another is rowing a boat. Several men are sitting by a river conversing with one another while a boat drifts by them. Five people sitting in front of a body of water with the sun behind them. A group of shirtless men are sitting in the shade on a tropical beach. Five men sitting with a body of water behind them.
106490881.jpg,A young boy in swimming trunks is walking with his arms outstretched on the beach. The boy is playing on the shore of an ocean. A boy in his blue swim shorts at the beach. A boy smiles for the camera at a beach. Children playing on the beach.
106514190.jpg,A skier is overlooking the beautiful white snow covered landscape. A hiker standing high on a bluff overlooking the mountains below. A person on ski's looks from hill over snow covered landscape A skier is overlooking a snow-covered mountain. A skier pauses on a mountaintop.
1065323785.jpg,Kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound. A boy wearing a red shirt is riding his bike right next to a mound of dirt. A group of boys are riding their bikes around a big pile of dirt. Kids are riding bikes near a dirt mound in the street. The kids are riding bikes in the pile of dirt.
1065831604.jpg,A bunch of people in racing gear and helmets racing bicycles around a corner on wet pavement. Many men ride their bicycles through some puddles around a curve during a race. Group of bicyclers rounding a corner with water spraying up from their wheels. Bikers in a bike race take a sharp left turn. Several bike riders compete in a competition.
1066252238.jpg,A boy in a pink T-shirt is riding a bike over a sand pile while two others are riding in the street. Three boys playing and biking with a pile of sand in the middle 3 young boys are riding their bikes around a mound of dirt. Three kids riding bikes over a dirt mound. Some young boys ride bikes in the street.
1066831905.jpg,Elderly man with cane bends down to look at some plants and is steadied from behind. A man and a woman are standing behind an elderly man who is looking at a bush. A man holds up an older man as the older man bends down to check out plants. An older man in a white short-sleeve shirt admiring a bush. Elderly man with a cane bends over near a man and woman.
106691539.jpg,A male surgeon wearing a red cap and teal scrubs performing surgery with two other men wearing teal scrubs. A doctor and nurses in blue scrubs are performing an operation. A surgeon and surgical staff operating on a patient. A surgeon and two assistants perform an operation. Surgical team performing surgery.
1067180831.jpg,A black and white dog is attempting to catch a yellow and purple object in a low cut yard. A black dog is jumping up to catch a purple and green toy. A black and white dog jumps after a yellow toy. A black and white dog jumps to get the Frisbee. A dog jumps to catch a toy. A man lies on a mat in a parking lot between a brown SUV and a yellow pickup with an open door. A shirtless man is laying down in the middle of a busy street. A man laying down in middle of street during heavy traffic. A man in blue shorts lays down outside in a parking lot. A man in blue shorts is laying in the street.
1067790824.jpg,A white and black dog and a brown dog in sandy terrain. Two large dogs chasing each other at the beach. The two large dogs are running through sand. One dog is chasing another one on the beach. A woolly dog chases a Doberman on a beach.
1068427675.jpg,A man in an all black outfit just threw a bowling ball down a lane towards the center of the bowling pins. A guy wearing all black at a bowling alley standing in front of a lane with a black bowling ball in it. A man is bowling at an alley with cosmic imagery including bowling balls and pins above the lanes. A man stand there after rolling a bowling ball down a lane. Man finished throwing bowling ball towards bowling pins.
106959209.jpg,"A man in a black shirt is riding a mule trough the desert, with the sun shining in the background. An old weathered, bearded man wearing all black, riding a beautiful white donkey on white rocks. A man wearing black is riding a white horse with numerous rocks around him. A gray bearded man in black clothing riding a horse on a rocky path. Man with gray hair and a black outfit riding a white horse."
107022557.jpg,"Two tired-looking men relax on a couch near a wooden trestle table with a coffee cup on it. A man and woman are on a couch, and they are both asleep. A man and woman are taking a nap on a couch. A man and woman laze around on the couch. A man and woman napping on a blue couch."
1071201387.jpg,A man wearing a reflective vest sits on the sidewalk and holds up pamphlets with bicycles on the cover. Man in bright yellow vest displays bicycle safety information on street. A man and woman talking are interrupted and a man covers his face. A man in a vest is sitting in a chair and holding magazines. A construction worker holds a sign about bicycling. A multicolor dog jumping to catch a tennis ball in a grassy field. A dog leaps while chasing a tennis ball through a grassy field. A dog is jumping to catch a object thrown at it. A black and white dog catches a toy in midair. A dog and a tennis ball.
1072439304.jpg,"A young helmeted man, in his team uniform, is swinging his bat at an incoming baseball. A young boy wearing a Giants jersey swings a baseball bat at an incoming pitch. A boy playing for the Giants baseball team swinging at a baseball. A child swings a baseball bat at the ball. This little boy hitting a ball."
1073145694.jpg,A man in a yellow shirt and black shorts getting ready to throw a javelin. A man wearing a yellow shirt is throwing a javelin on a track. An Asian man is throwing a javelin in a yellow shirt. A teenage guy wearing glasses is throwing a javelin. A man with a yellow shirt throwing a javelin.
107318069.jpg,Seven large balloons are lined up at nighttime near a crowd. People are watching hot air balloons in the park. A group of hot air balloons lit up at night. A crowd watching air balloons at night. People watching hot air balloons.
1073444492.jpg,"A guy sitting at a desk talking on a phone with books laying everywhere. Man talking on a phone, surrounded by books in an office. A man sits at a desk in room cluttered with books. A man on the phone surrounded by stacks of books. A man in a cluttered office is using the telephone"
107368840.jpg,Two brunette women in jackets sitting against a wall and looking at the same magazine. A woman is reading a magazine over another woman's shoulder. Fuzzy photo of two girls reading a magazine. Two women are reading the same magazine. Two women reading a magazine.
10751489.jpg,"Two men are squatting with one man lighting a stick from a candle flame and the other man has his hands folded looking at the ground while a person wearing a bracelet has a phone to their ear. Two men are hunched down in front of candles in what appears to be a kind of vigil. At night, two men in glasses crouch near some plants. Two men squat to light candles at night. A man with glasses lighting a candle."
107532584.jpg,A young man is walking through a busy street beside a mall. Woman in a pink hat walking with a man in a gray sweater. An Asian couple walks in the shopping district. A woman in a pink hat strolls along sidewalk. Several people are walking around outside.
1075716537.jpg,A little boy rides a bike down a hill on a miniature dirt bike. A young boy in a helmet rides a bike on the road. A child with a helmet on his head rides a bike. The young boy pedals quickly at a BMX race. The little boy rides his bicycle in a race.
107582366.jpg,A group of people sit around a table outside on a porch at night. A group of eight people are gathered around a table at night. A group of people sitting at a table in a darkened room. A group of people sit outdoors together at night. A group of people gathered around in the dark.
1075867198.jpg,A man in a brown shirt and dark shorts plays on the beach with his two black dogs. A man in shorts with two black dogs holds a ball throwing toy at the beach. A man playing with two black dogs on the beach Man at the beach with two dogs. A man with two dogs on a beach
1075881101.jpg,A child covered in foam is climbing on a black inflatable ramp. A person covered in soapy water is getting cleaned off. A boy covered in suds has his face wiped clean. A boy cleans the bubbles off his face. A boy is covered in bubbles.
1076460267.jpg,A couple is sitting in a blue raft watching a lot of people in bathing suits on a boat. A group of people in swimsuits enjoy themselves on a cruise ship. Many people in bathing suits on a boat and on inflatable rafts. A large gathering of people partying on boats. Dozens of people are partying on a boat.
1076503761.jpg,A girl with blond-hair is holding a bottle and wearing a blue and green floral bikini on a boat. A young woman in a bikini holding a bottle is goofing around and kicking a man in a straw hat. A young woman on a boat in a light colored bikini kicks a man wearing a straw cowboy hat. Teenagers are partying on a boat while a blond teenager is kicking a man. A group of students during spring brake.
1077546505.jpg,A boy in blue swimming trunks slides down a yellow slide into a wading pool with inflatable toys floating in the water. A child is falling off a slide onto colored balloons floating on a pool of water. A boy sliding down a slide into a pool with colorful tubes. A boy in blue shorts slides down a slide into a pool. A boy rides down a slide into a small backyard pool.
1077931201.jpg,"A man in water throwing a little boy up in the air and waiting for him to come down so he can catch him. A man in a wetsuit is throwing a toddler up in the air and is ready to catch him. A man in a wetsuit is throwing a baby wearing a wetsuit up into the air. While water droplets fly, a man throws a little boy up in the air. The man is in the pool and throwing a small boy into the air."
1078621572.jpg,"A large group of people traveling down a countryside road in the back of a small pickup truck while one person is walking along side the truck. People cram together in the back of a truck that is heading through green rolling hills while passing a pedestrian along the way. A rickety old truck, stuffed to overflowing with men, is traveling down a country road on the left hand side. A group of people riding in the back of a truck, down the road, in a country area. Many men on the back of a pick up truck going down a road."
1079013716.jpg,Two people are preparing food in a restaurant kitchen. The cooks are preparing hamburgers for the customers. Two chefs prepare burgers in a restaurant kitchen. Two men preparing food in a kitchen. Two cooks in the kitchen cooking.
1079274291.jpg,"Two young boys are looking at the camera, one smiling, the other sticking his tongue out. A little boy sticks his tongue out for the camera. Another boy looks on. Two young boys look up at the camera as one sticks out his tongue. Two young boys making silly faces. Two boys make faces."
107936523.jpg,"A person with brown pants is sitting around a fenced area that has sparks flying. A man in workman's gear is welding an I beam above a chain link fence. A man is wearing brown pants and boots, while welding. Construction worker, welding on high beam. A metal worker doing some kind of work."
107969134.jpg,A mother decides to take her child on a piggyback ride outside their apartment complex. A baby boy in a blue and white striped shirt is sitting on his mother's shoulders. A mother and her young song enjoying a beautiful day outside. A young woman is giving a baby a ride on her shoulders. A woman gives a small child a piggyback ride.
1079742005.jpg,"A woman is resting against a cross shaped pole while looking towards a large body of water. A person overlooking the view from above, while leaning on a cross. A woman leaning against a white cross looking at the ocean below. Woman on a hill by a white cross overlooking a beach. A person stands by a white cross overlooking a bay."
107985741.jpg,A group of people on a riverbank some sitting on the grass some standing. Several people sitting and standing on a grassy area next to the water. Four girls are sitting in the grass while several men stand near them. A group of people are gathered near the water. People gather in a grassy area near a lake.
1080230428.jpg,"A male volleyball player in red trunks tries to block the shot of the opposing player during a professional volleyball game. Men playing volleyball, with one player missing the ball but hands still in the air. A group of spectators watch a men's sand volleyball game. Volleyball players compete on a sunny day at the beach. Men playing volleyball in the sand."
108149945.jpg,Two men shoveling snow off a railroad track dressed in bright orange snowsuits. Two men in orange coveralls shovel snow off railroad tracks. Two men in hats and orange uniforms are shoveling snow. Men at work shoveling snow from a rail track. Emergency workers clearing the path.
10815824.jpg,"A blond horse and a blond girl in a black sweatshirt are staring at a fire in a barrel. A man, and girl and two horses are near a contained fire. A girl holding a horse's lead behind a fire. Two people and two horses watching a fire. A girl and her horse stand by a fire."
1081595465.jpg,"A group of construction workers dressed in orange safety vest sit on the ground assembling a railroad track. Several workers in orange vests are repairing tram rails, as onlookers stand by. Workers wearing reflective vests working near a train car. Rail workers working on train tracks in the city. There are laborers working on a train track."
1082110795.jpg,"Two gentlemen in baseball caps and shirts, work on the engine of an old, rusted VW beetle. An older guy looking at a classic, rustic, volkswagen beetle. Two men working on a yellow Volkswagen beetle. Two men looking at a beat up old car. Two men are working on an old car."
1082223338.jpg,"A man kneels on the ground doing some sort of project on his own. Woman with blue gloves working on the sidewalk with some cleaner A short, brown hair girl is assembling a pink roof cover. A woman assembles a white metal frame on the sidewalk. A young woman sands down an old shelf."
1082250005.jpg,"A woman wearing a pink shirt and red apron stands in her restaurant holding food and surrounded by bagged breads, a microwave and the chalkboard menu up on the wall. Woman wearing a yellow hat, pink shirt, and red apron is holding food in a kitchen. Employee in pink shirt smiles for camera inside a restaurant kitchen. A woman holding a bowl of food in a kitchen. Women in store happily holding some food."
1082252566.jpg,"A large brown dog is pushing a small Boston terrier with his face while anouther dog watches. There are three dogs starring at a ball in the middle of them. A large skinny dog stands near two smaller dogs in the dirt. A bulldog, a sheepdog, and a boxer standing in a yard. Three dogs of various sizes."
1082379191.jpg,A man and woman sitting on a deck next to a lake. A man and a woman are sitting on a dock together. A shirtless man and a woman sitting on a dock. A lady and a man with no shirt sit on a dock. A man and a woman sitting on a dock.
1082478946.jpg,There are workers laying out the tracks for a trolley. Men in orange vests are laying train track down. Men wearing orange vests working on a railroad. A group of men work on some streetcar rails. Men in safety vests are working on a track.
1082608010.jpg,A construction worker in a neon vest is working with electrical equipment while sparks fly. A man in a face mask and high visibility vest working on a train track. A woman with an orange and gray shirt is fixing something. A man fixing the road with his equipment. He is working in an orange vest.
1083240835.jpg,A woman with red-brown hair and dark painted fingernails is carefully applying mascara. A woman with reddish hair applies mascara to her eyelashes. A woman is carefully applying mascara to her eyelashes. A woman applies mascara to her eyelash. A woman is applying mascara.
1084040636.jpg,A white dog is resting its head on a tiled floor with its eyes open. A closeup of a white dog that is laying its head on its paws. A white dog rests its head on the patio bricks. A white dog has its head on the ground. A large white dog lying on the floor.
1084104085.jpg,"A woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness. A woman in blue shorts and a white shirt is indoor rock climbing. The girl is in a harness, climbing rocks. Woman climbing an artificial rock wall. The girl is climbing a rock wall."
1084527029.jpg,Looks like everyone is getting good gas mileage here with all these beautiful scooters! Dozens of motor scooters are arranged here in an orderly fashion. Many scooters are parked together on the sidewalk. Several Japanese motorcycles are lined up. A lot of motorcycles lined up in Asia.
108503753.jpg,The regional park police helicopter is preparing to land. A white and green helicopter takes off from the airfield. A helicopter on a clear day taking off. A helicopter is taking off for flight. Helicopter taking off from airport.
